Sales Sku,Sales Order Number,Sales Order Date,Fulfillment Order Number,Fulfillment Channel Name,Quantity,Sku,Total Sales,Total Cost,Commission,Inventory Cost,Invoice Shipping Cost,Estimated Shipping Cost,Flag,Profit,,
A1,11163155307905802,12/1/20,20024552,D,2,A1,45.1,37.06,5.42,23.12,8.52,58.52,0,8.04,,
A2,11164688141254602,12/1/20,20024566,L,12,A2,25.42,25.06,3.81,14.21,7.04,6.99,1,0.36,,
A3,11151834126931414,12/1/20,20024567,C,1,A3,27.25,29.67,4.09,12.42,13.16,11.3,1,-2.42,,
A4,11366159442361017,12/1/20,20024569,C,1,A4,32,31.21,4.8,17.52,8.89,9.6,1,0.79,,
A5,11472931905893056,12/1/20,20024576,L,6,A5,39.93,38.65,5.99,23.9,8.76,9.5,1,1.28,,
A6,11213640787957800,12/1/20,20024570,L,3,A6,48.48,23.43,7.26,7.02,9.15,6.99,1,25.05,,
A7,11368988724549009,12/1/20,20024555,I,1,A7,58.05,56.64,8.71,44.49,3.44,3.28,0,1.41,,
A8,11112448714881050,12/1/20,20024568,L,24,A8,75.69,72.41,11.35,52.5,8.56,9.5,1,3.28,,
A9,11246714472592241,12/1/20,20024574,L,12,A9,90.7,87.39,13.61,65.89,7.89,6.99,1,3.31,,
A10,11129146760927407,12/1/20,20024579,L,4,A10,13.55,14.13,1.08,4.8,8.25,6.99,1,-0.58,,
A11,11378863299726617,12/1/20,20024577,L,2,A11,32.08,34.77,4.81,20.92,9.04,6.99,1,-2.69,,
A12,11328507244565049,12/1/20,20024581,L,6,A12,35.27,35.62,5.29,22.77,7.56,7.5,1,-0.35,,
A13,11280760274605057,12/1/20,20024580,L,1,A13,13.03,14.2,1.95,5.21,7.04,6.99,1,-1.17,,
A14,11392303571273816,12/1/20,20024584,L,6,A14,33.19,32.34,4.98,20.37,6.99,6.99,0,0.85,,
A15,11155590390441048,12/1/20,20024556,J,1,A15,858,823.84,70.38,753.46,0,9.65,1,34.16,,
A16,11326380707929020,12/1/20,20024583,L,12,A16,32.6,29.53,4.89,15.91,8.73,7.99,1,3.07,,
A17,11122257925669036,12/1/20,9976-11-,G,1,A17,139.84,153.53,11.19,119.83,22.51,11.5,1,-13.69,,
A18,11307094689809858,12/1/20,20024585,C,1,A18,38.08,37.51,5.71,20.99,10.81,11.3,1,0.57,,
A19,11176263445817811,12/1/20,20024558,I,1,A19,30.22,28.82,4.53,14.49,9.8,11.75,0,1.4,,
A20,11129166435141864,12/1/20,20024586,L,1,A20,20.98,18.73,3.15,11.95,3.63,4.75,1,2.25,,
A21,11128710785569819,12/1/20,20024588,C,1,A21,100.65,97.46,15.1,70.09,12.27,17.48,1,3.19,,
A22,11482413466669839,12/1/20,20024589,L,1,A22,17.47,17.61,2.62,7.41,7.58,7.5,1,-0.14,,
A23,11152593578487413,12/1/20,20024591,L,12,A23,24.85,25.18,3.73,13.43,8.02,6.99,1,-0.33,,
A24,11242441470369810,12/1/20,20024590,L,12,A24,78.42,71.71,11.76,47.54,12.41,9.99,1,6.71,,
A25,11240940255910637,12/1/20,20024592,L,1,A25,8.53,8.35,0.68,3.23,4.44,4.75,1,0.18,,
A26,11245054779977845,12/1/20,20024596,L,8,A26,40.7,40.45,6.11,25.84,8.5,7.5,1,0.25,,
A27,11339880007683409,12/1/20,20024593,L,3,A27,26.13,21.99,3.92,13.77,4.3,5.75,1,4.14,,
A28,11335117920210665,12/1/20,20024594,L,6,A28,34.09,32.25,5.11,11.67,15.47,9.99,1,1.84,,
A29,11488531502866601,12/1/20,20024572,I,1,A29,17.82,16.18,2.67,8.99,4.52,4.31,0,1.64,,
A30,11416383164253050,12/1/20,20024598,L,6,A30,33.19,32.34,4.98,20.37,6.99,6.99,0,0.85,,
A31,11259035596437867,12/1/20,20024597,L,3,A31,22.6,21.5,3.39,14.52,3.59,4.75,1,1.1,,
A32,11225153435478643,12/1/20,20024599,C,1,A32,38.46,41.47,5.77,21.02,14.68,12.44,1,-3.01,,
A33,11325726731969826,12/1/20,20024602,L,1,A33,20.98,18.69,3.15,11.95,3.59,4.75,1,2.29,,
A34,11249738958632229,12/1/20,20024600,L,8,A34,31.96,31.6,4.79,18.31,8.5,7.5,1,0.36,,
A35,11193545861018640,12/1/20,20024603,L,12,A35,65.49,71.94,9.82,46.21,15.91,9.99,1,-6.45,,
