Sales Sku,Sales Order Number,Sales Order Date,Fulfillment Order Number,Fulfillment Channel Name,Quantity,Sku,Total Sales,Total Cost,Commission,Inventory Cost,Estimated Shipping Cost,Shipping Cost,Flag,Profit,Weight,,
A1,11266930721184234,12/1/20,20025454,L,2,A1,12.39,12.5,0.99,6.9,4.61,4.75,1,-0.11,0.34,,
A2,11300854145573009,12/1/20,20025453,L,24,A2,86.4,81.19,12.96,55.08,13.15,9.5,1,5.21,5.5,,
A3,11225181786872251,12/1/20,20025452,L,12,A3,53.77,52.96,8.07,28.63,16.26,13.99,1,0.81,24,,
A4,11345859740473839,12/1/20,20025451,L,12,A4,44.36,43.84,6.65,25.09,12.1,7.5,1,0.52,2.67,,
A5,11493488602321055,12/1/20,20025450,L,1,A5,17.27,16.17,2.59,9.99,3.59,4.75,1,1.1,0.09,,
A6,11142711005098624,12/1/20,20025449,L,6,A6,31.6,35.14,4.74,17.99,12.41,9.5,1,-3.54,5.5,,
A7,11418770199585012,12/1/20,20025447,L,6,A7,38.5,42.46,5.78,22.92,13.76,9.99,1,-3.96,7,,
A8,11370492706824215,12/1/20,20025446,L,10,A8,51.49,50.51,7.72,32,10.79,9.99,1,0.98,10,,
A9,11245083265801047,12/1/20,20025445,L,2,A9,33.34,20.87,5,12.24,3.63,4.75,1,12.47,0.24,,
A10,11120272098781056,12/1/20,20025444,L,4,A10,49.08,48.36,7.36,36.56,4.44,5.75,1,0.72,0.6,,
A11,11236899661641843,12/1/20,20025443,L,1,A11,13.3,15.35,2,5.1,8.25,4.75,1,-2.05,0.93,,
A12,11383022733605802,12/1/20,20025284,L,1,A12,32.19,31.21,4.83,21.73,4.65,4.75,1,0.98,0.17,,
A13,11105677329316210,12/1/20,20024746,L,1,A13,18.31,17.38,2.75,11.01,3.62,4.75,1,0.93,0.41,,
A14,11153180818407427,12/1/20,20025814,L,1,A14,50.18,50.52,7.53,35.67,7.32,6.99,1,-0.34,0.41,,
A15,11279979704374667,12/1/20,20024747,L,1,A15,12.07,15.95,1.81,5.1,9.04,4.75,1,-3.88,0.93,,
A16,11462952767244221,12/1/20,20024748,L,1,A16,32.19,31.17,4.83,21.73,4.61,4.75,1,1.02,0.17,,
A17,11280876453920217,12/1/20,20025859,L,2,A17,18.39,21.78,2.76,9.98,9.04,5.75,1,-3.39,0.66,,
A18,11495190873193826,12/1/20,20024757,L,12,A18,24.85,25.41,3.73,13.43,8.25,6.99,1,-0.56,1.49,,
A19,11143866355109042,12/1/20,20024759,L,3,A19,42.89,40.97,6.43,25.5,9.04,6.99,1,1.92,1.29,,
A20,11161991515779457,12/1/20,20024758,L,4,A20,73.2,64.08,11,44.04,9.04,6.99,1,9.12,1.64,,
A21,11248397170146649,12/1/20,20024760,L,1,A21,13.03,11.94,1.95,5.59,4.4,5.75,1,1.09,0.04,,
A22,11473181830015464,12/1/20,20024764,L,6,A22,26.92,26.07,4.04,11.7,10.33,9.5,1,0.85,6.6,,
A23,11276687125342623,12/1/20,20024765,L,1,A23,10.97,9.54,0.88,4.22,4.44,4.75,1,1.43,0.38,,
A24,11485558842900233,12/1/20,20024766,L,6,A24,34.09,29.62,5.11,11.67,12.84,9.99,1,4.47,10,,
A25,11375055681743419,12/1/20,20024767,L,1,A25,45.51,44.92,6.83,29.61,8.48,9.99,1,0.59,8.25,,
A26,11262223142793060,12/1/20,20024768,L,12,A26,46.6,47.56,6.99,30.24,10.33,9.5,1,-0.96,4.92,,
A27,11457514403057812,12/1/20,20024771,L,6,A27,34.68,35.95,5.2,21.92,8.83,7.5,1,-1.27,3.75,,
A28,11302285363358604,12/1/20,20024774,L,1,A28,30.17,30.83,4.53,19.26,7.04,6.99,1,-0.66,1.5,,
A29,11403046776974669,12/1/20,20024772,L,4,A29,53.63,51.13,8.04,27.63,15.46,13.99,1,2.5,21,,
A30,11399877578010667,12/1/20,20024781,L,6,A30,22.23,26.15,3.33,9.35,13.47,9.99,1,-3.92,14.5,,
A31,11466109626755431,12/1/20,20024780,L,12,A31,40.75,43.73,6.11,24.15,13.47,9.99,1,-2.98,13,,
A32,11175511821360262,12/1/20,20024782,L,6,A32,51.41,52.1,7.71,32.98,11.41,9.99,1,-0.69,13,,
A33,11144815189723418,12/1/20,20024783,L,6,A33,41.87,43.16,6.28,26.49,10.39,9.5,1,-1.29,5.35,,
A34,11396812518666651,12/1/20,20024784,L,12,A34,53.8,53.95,8.07,36.13,9.75,8.75,1,-0.15,4.5,,
A35,11284629626617832,12/1/20,20024785,L,12,A35,18.24,18.4,2.74,7.41,8.25,5.75,1,-0.16,0.98,,
A36,11316183184687418,12/1/20,20024787,L,6,A36,33.05,34.17,4.96,19.69,9.52,7.99,1,-1.12,3,,
A37,11275401217149823,12/1/20,20024789,L,12,A37,89.64,69.24,13.45,43.38,12.41,9.99,1,20.4,10.47,,
A38,11436991984004208,12/1/20,20024788,L,3,A38,44.11,37.19,6.62,30.57,0,7.5,1,6.92,2.55,,
A39,11447979893353013,12/1/20,20024793,L,12,A39,66.48,60.99,9.97,38.97,12.05,9.5,1,5.49,6.7,,
A40,11397815282197025,12/1/20,20024794,L,1,A40,32.21,31.17,4.83,21.73,4.61,4.75,1,1.04,0.17,,
A41,11305981964309833,12/1/20,20024796,L,11,A41,40.39,35.75,6.06,15.87,13.82,9.99,1,4.64,11.5,,
A42,11286237491041000,12/1/20,20024802,L,1,A42,30.92,22.16,4.64,9.44,8.08,6.99,1,8.76,1.13,,
A43,11309403911565001,12/1/20,20024827,L,1,A43,20.96,18.72,3.14,11.95,3.63,4.75,1,2.24,0.23,,
A44,11288783447459430,12/1/20,20024805,L,3,A44,56.97,56.9,8.55,41.31,7.04,6.99,1,0.07,1.23,,
A45,11384939277836255,12/1/20,20024806,L,12,A45,34.98,41.67,5.25,20.33,16.09,6.99,1,-6.69,1.92,,
A46,11412450037823453,12/1/20,20024809,L,6,A46,36.97,35.77,5.55,17.38,12.84,9.99,1,1.2,9.69,,
A47,11375680575159402,12/1/20,20024811,L,3,A47,18.53,16.61,2.78,9.18,4.65,5.75,1,1.92,0.78,,
A48,11408959670156223,12/1/20,20024812,L,6,A48,26.17,24.89,3.93,11.87,9.09,9.5,1,1.28,6.3,,
A49,11167403572465811,12/1/20,20024814,L,12,A49,32.89,31.72,4.93,14.07,12.72,9.99,1,1.17,9.35,,
A50,11296423852998644,12/1/20,20024821,L,18,A50,16.28,16.74,2.44,5.47,8.83,7.5,1,-0.46,2,,
A51,11343927188679447,12/1/20,20024823,L,12,A51,25.92,27.04,3.89,15.57,7.58,6.99,1,-1.12,1.32,,
